,zip_code,month,year,customer_class,combined,total_customers,total_Thm,average_Thm
96,94022,1,2013,Gas- Commercial,Y,356,179372,504.0
97,94024,1,2013,Gas- Commercial,Y,0,0,
98,94025,1,2013,Gas- Commercial,Y,818,785229,960.0
99,94027,1,2013,Gas- Commercial,Y,0,0,
100,94028,1,2013,Gas- Commercial,Y,0,0,
101,94030,1,2013,Gas- Commercial,Y,0,0,
102,94038,1,2013,Gas- Commercial,Y,0,0,
103,94040,1,2013,Gas- Commercial,Y,0,0,
104,94041,1,2013,Gas- Commercial,Y,0,0,
105,94043,1,2013,Gas- Commercial,Y,1636,1458260,891.0
106,94044,1,2013,Gas- Commercial,Y,261,86318,331.0
107,94061,1,2013,Gas- Commercial,Y,409,292104,714.0
108,94062,1,2013,Gas- Commercial,Y,0,0,
109,94063,1,2013,Gas- Commercial,N,1052,561473,534.0
110,94065,1,2013,Gas- Commercial,Y,0,0,
111,94066,1,2013,Gas- Commercial,Y,649,404366,623.0
112,94070,1,2013,Gas- Commercial,N,976,312535,320.0
113,94080,1,2013,Gas- Commercial,N,968,1095375,1132.0
114,94085,1,2013,Gas- Commercial,N,405,463043,1143.0
115,94086,1,2013,Gas- Commercial,N,340,261528,769.0
116,94087,1,2013,Gas- Commercial,Y,0,0,
117,94089,1,2013,Gas- Commercial,Y,0,0,
118,94102,1,2013,Gas- Commercial,N,365,319274,875.0
119,94103,1,2013,Gas- Commercial,N,864,417461,483.0
120,94104,1,2013,Gas- Commercial,N,51,95023,1863.0
121,94105,1,2013,Gas- Commercial,N,141,266040,1887.0
122,94107,1,2013,Gas- Commercial,Y,608,443735,730.0
123,94108,1,2013,Gas- Commercial,N,357,152249,426.0
124,94109,1,2013,Gas- Commercial,N,515,321195,624.0
125,94110,1,2013,Gas- Commercial,Y,1203,430347,358.0
126,94111,1,2013,Gas- Commercial,N,178,313605,1762.0
127,94112,1,2013,Gas- Commercial,Y,514,219882,428.0
128,94114,1,2013,Gas- Commercial,Y,0,0,
129,94115,1,2013,Gas- Commercial,N,353,179295,508.0
130,94116,1,2013,Gas- Commercial,Y,0,0,
131,94117,1,2013,Gas- Commercial,Y,0,0,
132,94118,1,2013,Gas- Commercial,Y,802,357616,446.0
133,94121,1,2013,Gas- Commercial,N,257,90994,354.0
134,94122,1,2013,Gas- Commercial,Y,614,201190,328.0
135,94123,1,2013,Gas- Commercial,N,363,117595,324.0
136,94124,1,2013,Gas- Commercial,Y,656,242049,369.0
137,94127,1,2013,Gas- Commercial,Y,0,0,
138,94128,1,2013,Gas- Commercial,Y,0,0,
139,94129,1,2013,Gas- Commercial,Y,0,0,
140,94131,1,2013,Gas- Commercial,Y,0,0,
141,94132,1,2013,Gas- Commercial,Y,0,0,
142,94133,1,2013,Gas- Commercial,N,482,261192,542.0
143,94134,1,2013,Gas- Commercial,Y,0,0,
144,94158,1,2013,Gas- Commercial,Y,0,0,
145,94303,1,2013,Gas- Commercial,Y,0,0,
146,94305,1,2013,Gas- Commercial,Y,0,0,
147,94306,1,2013,Gas- Commercial,Y,0,0,
148,94401,1,2013,Gas- Commercial,N,580,210746,363.0
149,94402,1,2013,Gas- Commercial,Y,0,0,
150,94403,1,2013,Gas- Commercial,Y,712,480724,675.0
151,94404,1,2013,Gas- Commercial,Y,311,618624,1989.0
152,94501,1,2013,Gas- Commercial,N,558,286165,513.0
153,94502,1,2013,Gas- Commercial,Y,0,0,
154,94503,1,2013,Gas- Commercial,Y,0,0,
155,94505,1,2013,Gas- Commercial,Y,0,0,
156,94506,1,2013,Gas- Commercial,Y,138,114001,826.0
157,94507,1,2013,Gas- Commercial,Y,0,0,
158,94508,1,2013,Gas- Commercial,Y,0,0,
159,94509,1,2013,Gas- Commercial,Y,870,257438,296.0
160,94510,1,2013,Gas- Commercial,N,500,151690,303.0
161,94513,1,2013,Gas- Commercial,Y,833,227151,273.0
162,94514,1,2013,Gas- Commercial,Y,0,0,
163,94515,1,2013,Gas- Commercial,N,135,41064,304.0
164,94517,1,2013,Gas- Commercial,Y,0,0,
165,94518,1,2013,Gas- Commercial,Y,638,314082,492.0
166,94519,1,2013,Gas- Commercial,Y,0,0,
167,94520,1,2013,Gas- Commercial,N,937,491904,525.0
168,94521,1,2013,Gas- Commercial,N,260,100571,387.0
169,94523,1,2013,Gas- Commercial,Y,0,0,
170,94525,1,2013,Gas- Commercial,Y,0,0,
171,94526,1,2013,Gas- Commercial,Y,0,0,
172,94528,1,2013,Gas- Commercial,Y,0,0,
173,94530,1,2013,Gas- Commercial,Y,249,93109,374.0
174,94531,1,2013,Gas- Commercial,Y,0,0,
175,94533,1,2013,Gas- Commercial,Y,836,535159,640.0
176,94534,1,2013,Gas- Commercial,N,317,229923,725.0
177,94535,1,2013,Gas- Commercial,Y,0,0,
178,94536,1,2013,Gas- Commercial,Y,0,0,
179,94538,1,2013,Gas- Commercial,N,1186,917886,774.0
180,94539,1,2013,Gas- Commercial,Y,457,287051,628.0
181,94541,1,2013,Gas- Commercial,N,702,244721,349.0
182,94542,1,2013,Gas- Commercial,Y,0,0,
183,94544,1,2013,Gas- Commercial,Y,772,349248,452.0
184,94545,1,2013,Gas- Commercial,N,1147,579370,505.0
185,94546,1,2013,Gas- Commercial,N,478,159340,333.0
186,94547,1,2013,Gas- Commercial,Y,0,0,
187,94549,1,2013,Gas- Commercial,Y,509,233188,458.0
188,94550,1,2013,Gas- Commercial,N,637,302721,475.0
189,94551,1,2013,Gas- Commercial,Y,829,377702,456.0
190,94552,1,2013,Gas- Commercial,Y,0,0,
191,94553,1,2013,Gas- Commercial,Y,1038,600909,579.0
192,94555,1,2013,Gas- Commercial,Y,0,0,
193,94556,1,2013,Gas- Commercial,Y,0,0,
194,94558,1,2013,Gas- Commercial,Y,853,322116,378.0
195,94559,1,2013,Gas- Commercial,N,569,148608,261.0
196,94560,1,2013,Gas- Commercial,Y,643,435249,677.0
197,94561,1,2013,Gas- Commercial,Y,0,0,
198,94563,1,2013,Gas- Commercial,N,142,78252,551.0
199,94564,1,2013,Gas- Commercial,Y,556,233540,420.0
200,94565,1,2013,Gas- Commercial,N,633,255696,404.0
201,94566,1,2013,Gas- Commercial,N,665,301117,453.0
202,94568,1,2013,Gas- Commercial,Y,1516,1089351,719.0
203,94569,1,2013,Gas- Commercial,Y,0,0,
204,94571,1,2013,Gas- Commercial,Y,168,49963,297.0
205,94572,1,2013,Gas- Commercial,Y,99,25649,259.0
206,94574,1,2013,Gas- Commercial,Y,277,123570,446.0
207,94576,1,2013,Gas- Commercial,Y,0,0,
208,94577,1,2013,Gas- Commercial,N,1184,536862,453.0
209,94578,1,2013,Gas- Commercial,Y,539,274597,509.0
210,94579,1,2013,Gas- Commercial,N,122,53802,441.0
211,94580,1,2013,Gas- Commercial,Y,0,0,
212,94582,1,2013,Gas- Commercial,Y,0,0,
213,94583,1,2013,Gas- Commercial,Y,0,0,
214,94585,1,2013,Gas- Commercial,N,211,77303,366.0
215,94586,1,2013,Gas- Commercial,Y,0,0,
216,94587,1,2013,Gas- Commercial,Y,1041,506223,486.0
217,94588,1,2013,Gas- Commercial,N,521,653242,1254.0
218,94589,1,2013,Gas- Commercial,Y,0,0,
219,94590,1,2013,Gas- Commercial,Y,856,312195,365.0
220,94591,1,2013,Gas- Commercial,Y,376,115883,308.0
221,94595,1,2013,Gas- Commercial,Y,0,0,
222,94596,1,2013,Gas- Commercial,Y,721,512520,711.0
223,94597,1,2013,Gas- Commercial,Y,0,0,
224,94598,1,2013,Gas- Commercial,N,247,187235,758.0
225,94599,1,2013,Gas- Commercial,Y,0,0,
226,94601,1,2013,Gas- Commercial,N,424,183601,433.0
227,94602,1,2013,Gas- Commercial,N,172,78895,459.0
228,94603,1,2013,Gas- Commercial,Y,0,0,
229,94605,1,2013,Gas- Commercial,Y,505,254822,505.0
230,94606,1,2013,Gas- Commercial,Y,472,184609,391.0
231,94607,1,2013,Gas- Commercial,N,446,241226,541.0
232,94608,1,2013,Gas- Commercial,N,501,373907,746.0
233,94609,1,2013,Gas- Commercial,N,316,107317,340.0
234,94610,1,2013,Gas- Commercial,Y,0,0,
235,94611,1,2013,Gas- Commercial,Y,360,168726,469.0
236,94612,1,2013,Gas- Commercial,N,254,219706,865.0
237,94613,1,2013,Gas- Commercial,Y,0,0,
238,94618,1,2013,Gas- Commercial,Y,0,0,
239,94619,1,2013,Gas- Commercial,Y,0,0,
240,94621,1,2013,Gas- Commercial,Y,504,356591,708.0
241,94702,1,2013,Gas- Commercial,Y,0,0,
242,94703,1,2013,Gas- Commercial,Y,0,0,
243,94704,1,2013,Gas- Commercial,Y,749,406657,543.0
244,94705,1,2013,Gas- Commercial,Y,0,0,
245,94706,1,2013,Gas- Commercial,Y,0,0,
246,94707,1,2013,Gas- Commercial,Y,0,0,
247,94708,1,2013,Gas- Commercial,Y,0,0,
248,94709,1,2013,Gas- Commercial,Y,0,0,
249,94710,1,2013,Gas- Commercial,Y,1145,538984,471.0
250,94720,1,2013,Gas- Commercial,Y,0,0,
251,94801,1,2013,Gas- Commercial,N,226,100747,446.0
252,94803,1,2013,Gas- Commercial,Y,0,0,
253,94804,1,2013,Gas- Commercial,N,442,316698,717.0
254,94805,1,2013,Gas- Commercial,N,128,34091,266.0
255,94806,1,2013,Gas- Commercial,N,393,185398,472.0
256,94901,1,2013,Gas- Commercial,Y,1459,571133,391.0
257,94903,1,2013,Gas- Commercial,Y,0,0,
258,94904,1,2013,Gas- Commercial,Y,0,0,
259,94920,1,2013,Gas- Commercial,N,101,21017,208.0
260,94925,1,2013,Gas- Commercial,N,126,58754,466.0
261,94928,1,2013,Gas- Commercial,Y,443,126559,286.0
262,94930,1,2013,Gas- Commercial,Y,0,0,
263,94931,1,2013,Gas- Commercial,N,205,39293,192.0
264,94939,1,2013,Gas- Commercial,Y,0,0,
265,94941,1,2013,Gas- Commercial,N,413,156586,379.0
266,94945,1,2013,Gas- Commercial,Y,469,175746,375.0
267,94947,1,2013,Gas- Commercial,Y,0,0,
268,94949,1,2013,Gas- Commercial,N,378,85052,225.0
269,94951,1,2013,Gas- Commercial,Y,0,0,
270,94952,1,2013,Gas- Commercial,N,685,217107,317.0
271,94954,1,2013,Gas- Commercial,N,433,203268,469.0
272,94960,1,2013,Gas- Commercial,Y,169,37354,221.0
273,94965,1,2013,Gas- Commercial,N,254,65678,259.0
274,95002,1,2013,Gas- Commercial,Y,0,0,
275,95003,1,2013,Gas- Commercial,Y,541,118811,220.0
276,95004,1,2013,Gas- Commercial,Y,0,0,
277,95005,1,2013,Gas- Commercial,Y,0,0,
278,95006,1,2013,Gas- Commercial,N,67,16584,248.0
279,95008,1,2013,Gas- Commercial,Y,1079,435764,404.0
280,95010,1,2013,Gas- Commercial,N,296,85984,290.0
281,95012,1,2013,Gas- Commercial,Y,0,0,
282,95013,1,2013,Gas- Commercial,Y,0,0,
283,95014,1,2013,Gas- Commercial,Y,1854,1187523,641.0
284,95017,1,2013,Gas- Commercial,Y,0,0,
285,95018,1,2013,Gas- Commercial,Y,0,0,
286,95019,1,2013,Gas- Commercial,Y,0,0,
287,95020,1,2013,Gas- Commercial,Y,978,466362,477.0
288,95023,1,2013,Gas- Commercial,N,520,261201,502.0
289,95030,1,2013,Gas- Commercial,N,379,156476,413.0
290,95032,1,2013,Gas- Commercial,N,360,231422,643.0
291,95035,1,2013,Gas- Commercial,Y,1092,916052,839.0
292,95037,1,2013,Gas- Commercial,Y,814,424191,521.0
293,95039,1,2013,Gas- Commercial,Y,0,0,
294,95043,1,2013,Gas- Commercial,Y,0,0,
295,95045,1,2013,Gas- Commercial,Y,0,0,
296,95046,1,2013,Gas- Commercial,Y,0,0,
297,95050,1,2013,Gas- Commercial,N,757,381429,504.0
298,95051,1,2013,Gas- Commercial,N,586,450501,769.0
299,95054,1,2013,Gas- Commercial,Y,1119,1652874,1477.0
300,95060,1,2013,Gas- Commercial,Y,881,318413,361.0
301,95062,1,2013,Gas- Commercial,N,559,156094,279.0
302,95064,1,2013,Gas- Commercial,Y,0,0,
303,95065,1,2013,Gas- Commercial,Y,0,0,
304,95066,1,2013,Gas- Commercial,Y,510,224847,441.0
305,95070,1,2013,Gas- Commercial,Y,0,0,
306,95073,1,2013,Gas- Commercial,Y,0,0,
307,95076,1,2013,Gas- Commercial,Y,1074,430453,401.0
308,95110,1,2013,Gas- Commercial,N,333,330724,993.0
309,95111,1,2013,Gas- Commercial,Y,451,248831,552.0
310,95112,1,2013,Gas- Commercial,N,1261,570839,453.0
311,95113,1,2013,Gas- Commercial,Y,143,252531,1766.0
312,95116,1,2013,Gas- Commercial,N,405,123258,304.0
313,95117,1,2013,Gas- Commercial,N,123,61020,496.0
314,95118,1,2013,Gas- Commercial,Y,0,0,
315,95119,1,2013,Gas- Commercial,N,204,149194,731.0
316,95120,1,2013,Gas- Commercial,Y,0,0,
317,95121,1,2013,Gas- Commercial,Y,230,164546,715.0
318,95122,1,2013,Gas- Commercial,N,371,227784,614.0
319,95123,1,2013,Gas- Commercial,Y,508,255609,503.0
320,95124,1,2013,Gas- Commercial,Y,671,305072,455.0
321,95125,1,2013,Gas- Commercial,N,732,207277,283.0
322,95126,1,2013,Gas- Commercial,N,551,263264,478.0
323,95127,1,2013,Gas- Commercial,N,241,133724,555.0
324,95128,1,2013,Gas- Commercial,N,555,253235,456.0
325,95129,1,2013,Gas- Commercial,Y,0,0,
326,95130,1,2013,Gas- Commercial,Y,0,0,
327,95131,1,2013,Gas- Commercial,N,867,474303,547.0
328,95132,1,2013,Gas- Commercial,Y,0,0,
329,95133,1,2013,Gas- Commercial,N,215,100730,469.0
330,95134,1,2013,Gas- Commercial,Y,0,0,
331,95135,1,2013,Gas- Commercial,Y,0,0,
332,95136,1,2013,Gas- Commercial,Y,0,0,
333,95138,1,2013,Gas- Commercial,Y,182,262309,1441.0
334,95139,1,2013,Gas- Commercial,Y,0,0,
335,95148,1,2013,Gas- Commercial,Y,0,0,
336,95192,1,2013,Gas- Commercial,Y,0,0,
337,95202,1,2013,Gas- Commercial,Y,0,0,
338,95203,1,2013,Gas- Commercial,N,261,115492,442.0
339,95204,1,2013,Gas- Commercial,Y,399,179120,449.0
340,95205,1,2013,Gas- Commercial,Y,1035,434009,419.0
341,95206,1,2013,Gas- Commercial,N,446,394386,884.0
342,95207,1,2013,Gas- Commercial,Y,1479,680453,460.0
343,95209,1,2013,Gas- Commercial,Y,0,0,
344,95210,1,2013,Gas- Commercial,Y,0,0,
345,95211,1,2013,Gas- Commercial,Y,0,0,
346,95212,1,2013,Gas- Commercial,Y,0,0,
347,95215,1,2013,Gas- Commercial,N,272,129805,477.0
348,95219,1,2013,Gas- Commercial,N,278,126308,454.0
349,95220,1,2013,Gas- Commercial,Y,0,0,
350,95231,1,2013,Gas- Commercial,Y,0,0,
351,95236,1,2013,Gas- Commercial,Y,0,0,
352,95237,1,2013,Gas- Commercial,Y,0,0,
353,95240,1,2013,Gas- Commercial,Y,1225,558542,456.0
354,95242,1,2013,Gas- Commercial,N,318,160609,505.0
355,95249,1,2013,Gas- Commercial,Y,0,0,
356,95252,1,2013,Gas- Commercial,Y,0,0,
357,95258,1,2013,Gas- Commercial,N,35,5497,157.0
358,95301,1,2013,Gas- Commercial,Y,470,211750,451.0
359,95304,1,2013,Gas- Commercial,Y,0,0,
360,95307,1,2013,Gas- Commercial,Y,589,296665,504.0
361,95310,1,2013,Gas- Commercial,Y,0,0,
362,95313,1,2013,Gas- Commercial,Y,0,0,
363,95315,1,2013,Gas- Commercial,Y,0,0,
364,95316,1,2013,Gas- Commercial,Y,0,0,
365,95320,1,2013,Gas- Commercial,Y,0,0,
366,95322,1,2013,Gas- Commercial,N,116,51623,445.0
367,95323,1,2013,Gas- Commercial,Y,0,0,
368,95324,1,2013,Gas- Commercial,Y,0,0,
369,95326,1,2013,Gas- Commercial,Y,0,0,
370,95328,1,2013,Gas- Commercial,Y,0,0,
371,95330,1,2013,Gas- Commercial,Y,0,0,
372,95333,1,2013,Gas- Commercial,Y,0,0,
373,95334,1,2013,Gas- Commercial,Y,0,0,
374,95336,1,2013,Gas- Commercial,N,613,253799,414.0
375,95337,1,2013,Gas- Commercial,Y,475,296977,625.0
376,95340,1,2013,Gas- Commercial,Y,855,400522,468.0
377,95341,1,2013,Gas- Commercial,N,87,18094,208.0
378,95348,1,2013,Gas- Commercial,Y,454,155375,342.0
379,95350,1,2013,Gas- Commercial,N,901,452399,502.0
380,95351,1,2013,Gas- Commercial,N,522,255434,489.0
381,95354,1,2013,Gas- Commercial,N,783,494764,632.0
382,95355,1,2013,Gas- Commercial,N,497,221448,446.0
383,95356,1,2013,Gas- Commercial,Y,644,303485,471.0
384,95357,1,2013,Gas- Commercial,Y,0,0,
385,95358,1,2013,Gas- Commercial,Y,0,0,
386,95360,1,2013,Gas- Commercial,Y,0,0,
387,95361,1,2013,Gas- Commercial,Y,687,227109,331.0
388,95363,1,2013,Gas- Commercial,Y,490,320489,654.0
389,95365,1,2013,Gas- Commercial,Y,0,0,
390,95366,1,2013,Gas- Commercial,Y,301,165963,551.0
391,95367,1,2013,Gas- Commercial,Y,0,0,
392,95368,1,2013,Gas- Commercial,Y,0,0,
393,95376,1,2013,Gas- Commercial,Y,938,445868,475.0
394,95377,1,2013,Gas- Commercial,Y,0,0,
395,95380,1,2013,Gas- Commercial,Y,1296,653604,504.0
396,95382,1,2013,Gas- Commercial,Y,0,0,
397,95385,1,2013,Gas- Commercial,Y,0,0,
398,95386,1,2013,Gas- Commercial,Y,78,20895,268.0
399,95388,1,2013,Gas- Commercial,Y,0,0,
400,95391,1,2013,Gas- Commercial,Y,0,0,
401,95401,1,2013,Gas- Commercial,Y,0,0,
402,95403,1,2013,Gas- Commercial,Y,1308,553537,423.0
403,95404,1,2013,Gas- Commercial,Y,622,195581,314.0
404,95405,1,2013,Gas- Commercial,N,344,100502,292.0
